world_id,team,adjustment
W8,Arrow,300000
W8,Becker,250000
W8,Coase,300000
W8,Debreu,1550000
W8,Friedman,1200000
W8,Heckman,200000
W8,Krugman,500000
W9,Arrow,390000
W9,Becker,80000
W9,Coase,180000
W9,Debreu,800000
W9,Friedman,400000
W9,Heckman,300000
W9,Krugman,1130000
F2,Arrow,300000
F2,Becker,460000
F2,Coase,350000
F2,Debreu,240000
F2,Friedman,200000
F2,Heckman,380000
F2,Krugman,180000
F3,Arrow,640000
F3,Becker,190000
F3,Coase,180000
F3,Debreu,190000
F3,Friedman,290000
F3,Heckman,300000
F3,Krugman,490000
