TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,East_Bay,5,PITTSBURGH_1-4,51,6,49.10,49.10,49.10,49.10
Arrow,1,East_Bay,5,PITTSBURGH_5-6,52,6,43.92,43.92,43.92,43.92
Arrow,1,East_Bay,5,PITTSBURG_7,53,6,71.62,71.62,71.62,71.62
Arrow,1,East_Bay,5,CONTRA_COSTA_4-5,54,6,69.84,69.84,69.84,69.84
Arrow,1,East_Bay,5,CONTRA_COSTA_6-7,55,6,47.32,47.32,47.32,47.32
Arrow,1,East_Bay,5,POTRERO_HILL,56,6,83.77,83.77,83.77,83.77
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,6,48.66,48.66,48.66,48.66
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,6,44.75,44.75,44.75,44.75
Becker,2,Big_Gas,2,LONG_BEACH,23,6,57.08,57.08,57.08,57.08
Becker,2,Big_Gas,2,NORTH_ISLAND,24,6,71.28,71.28,71.28,71.28
Becker,2,Big_Gas,2,ENCINA,25,6,45.35,45.35,45.35,45.35
Becker,2,Big_Gas,2,KEARNY,26,6,98.01,98.01,98.01,98.01
Becker,2,Big_Gas,2,SOUTH_BAY,27,6,47.66,47.66,47.66,47.66
Coase,3,Beachfront,4,COOLWATER,41,6,50.72,50.72,50.72,50.72
Coase,3,Beachfront,4,ETIWANDA_1-4,42,6,51.00,51.00,51.00,51.00
Coase,3,Beachfront,4,ETIWANDA_5,43,6,75.13,75.13,75.13,75.13
Coase,3,Beachfront,4,ELLWOOD,44,6,90.74,90.74,90.74,90.74
Coase,3,Beachfront,4,MANDALAY_1-2,45,6,46.54,46.54,46.54,46.54
Coase,3,Beachfront,4,MANDALAY_3,46,6,62.26,62.26,62.26,62.26
Coase,3,Beachfront,4,ORMOND_BEACH_1,47,6,45.54,45.54,45.54,45.54
Coase,3,Beachfront,4,ORMOND_BEACH_2,48,6,45.54,45.54,45.54,45.54
Debreu,4,Low_Fossil,7,HUMBOLDT,71,6,56.24,56.24,56.24,56.24
Debreu,4,Low_Fossil,7,HELMS,72,6,0.50,0.50,0.50,0.50
Debreu,4,Low_Fossil,7,HUNTERS_POINT_1-2,73,6,58.13,58.13,58.13,58.13
Debreu,4,Low_Fossil,7,HUNTERS_POINT_4,74,6,89.97,89.97,89.97,89.97
Debreu,4,Low_Fossil,7,DIABLO_CANYON_1,75,6,11.50,11.50,11.50,11.50
Friedman,5,Old_Timers,6,BIG_CREEK,61,6,0.00,0.00,0.00,0.00
Friedman,5,Old_Timers,6,MOHAVE_1,62,6,49.99,49.99,49.99,49.99
Friedman,5,Old_Timers,6,MOHAVE_2,63,6,49.99,49.99,49.99,49.99
Friedman,5,Old_Timers,6,HIGHGROVE,64,6,59.99,59.99,59.99,59.99
Friedman,5,Old_Timers,6,SAN_BERNARDINO,65,6,64.99,64.99,64.99,64.99
Heckman,6,Big_Coal,1,Four Corners,11,6,48.00,48.00,48.00,48.00
Heckman,6,Big_Coal,1,ALAMITOS_7,12,6,89.00,89.00,89.00,89.00
Heckman,6,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,6,51.00,51.00,51.00,51.00
Heckman,6,Big_Coal,1,HUNTINGTON_BEACH_5,14,6,79.00,79.00,79.00,79.00
Heckman,6,Big_Coal,1,REDONDO_5-6,15,6,51.00,51.00,51.00,51.00
Heckman,6,Big_Coal,1,REDONDO_7-8,16,6,55.00,55.00,55.00,55.00
Krugman,7,Bay_Views,3,MORRO_BAY_1-2,31,6,45.98,45.98,45.98,45.98
Krugman,7,Bay_Views,3,MORRO_BAY_3-4,32,6,43.49,43.49,43.49,43.49
Krugman,7,Bay_Views,3,MOSS_LANDING_6,33,6,38.48,38.48,38.48,38.48
Krugman,7,Bay_Views,3,MOSS_LANDING_7,34,6,38.48,38.48,38.48,38.48
Krugman,7,Bay_Views,3,OAKLAND,35,6,72.69,72.69,500.00,72.69
Arrow,1,East_Bay,5,PITTSBURGH_1-4,51,5,52.95,52.95,52.95,52.95
Arrow,1,East_Bay,5,PITTSBURGH_5-6,52,5,47.37,47.37,47.37,47.37
Arrow,1,East_Bay,5,PITTSBURG_7,53,5,77.23,77.23,77.23,77.23
Arrow,1,East_Bay,5,CONTRA_COSTA_4-5,54,5,75.29,75.29,75.29,75.29
Arrow,1,East_Bay,5,CONTRA_COSTA_6-7,55,5,51.01,51.01,51.01,51.01
Arrow,1,East_Bay,5,POTRERO_HILL,56,5,90.34,90.34,90.34,90.34
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,5,49.78,49.78,49.78,49.78
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,5,45.78,45.78,45.78,45.78
Becker,2,Big_Gas,2,LONG_BEACH,23,5,58.42,58.42,58.42,58.42
Becker,2,Big_Gas,2,NORTH_ISLAND,24,5,72.97,72.97,72.97,72.97
Becker,2,Big_Gas,2,ENCINA,25,5,46.43,46.43,46.43,46.43
Becker,2,Big_Gas,2,KEARNY,26,5,100.35,100.35,100.35,100.35
Becker,2,Big_Gas,2,SOUTH_BAY,27,5,48.78,48.78,48.78,48.78
Coase,3,Beachfront,4,COOLWATER,41,5,53.07,53.07,53.07,53.07
Coase,3,Beachfront,4,ETIWANDA_1-4,42,5,58.35,58.35,58.35,58.35
Coase,3,Beachfront,4,ETIWANDA_5,43,5,85.93,85.93,85.93,85.93
Coase,3,Beachfront,4,ELLWOOD,44,5,104.09,104.09,104.09,104.09
Coase,3,Beachfront,4,MANDALAY_1-2,45,5,53.14,53.14,53.14,53.14
Coase,3,Beachfront,4,MANDALAY_3,46,5,71.26,71.26,71.26,71.26
Coase,3,Beachfront,4,ORMOND_BEACH_1,47,5,52.14,52.14,52.14,52.14
Coase,3,Beachfront,4,ORMOND_BEACH_2,48,5,52.14,52.14,52.14,52.14
Debreu,4,Low_Fossil,7,HUMBOLDT,71,5,66.69,66.69,66.69,66.69
Debreu,4,Low_Fossil,7,HELMS,72,5,0.50,0.50,0.50,0.50
Debreu,4,Low_Fossil,7,HUNTERS_POINT_1-2,73,5,68.77,68.77,68.77,68.77
Debreu,4,Low_Fossil,7,HUNTERS_POINT_4,74,5,106.69,106.69,106.69,106.69
Debreu,4,Low_Fossil,7,DIABLO_CANYON_1,75,5,11.50,11.50,11.50,11.50
Friedman,5,Old_Timers,6,BIG_CREEK,61,5,0.00,0.00,0.00,0.00
