TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Old_Timers,6,BIG_CREEK,61,3,30.00,30.00,30.00,30.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,3,32.00,32.00,42.00,32.00
Arrow,1,Old_Timers,6,MOHAVE_2,63,3,35.00,35.00,45.00,35.00
Arrow,1,Old_Timers,6,HIGHGROVE,64,3,90.00,100.00,49.11,100.00
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,3,95.00,110.00,53.44,110.00
Becker,2,Beachfront,4,COOLWATER,41,3,42.39,42.39,499.96,42.39
Becker,2,Beachfront,4,ETIWANDA_1-4,42,3,42.67,42.67,499.97,42.67
Becker,2,Beachfront,4,ETIWANDA_5,43,3,62.89,62.89,499.99,62.89
Becker,2,Beachfront,4,ELLWOOD,44,3,75.61,75.61,500.00,75.61
Becker,2,Beachfront,4,MANDALAY_1-2,45,3,39.06,39.06,499.95,39.06
Becker,2,Beachfront,4,MANDALAY_3,46,3,52.06,52.06,499.98,52.06
Becker,2,Beachfront,4,ORMOND_BEACH_1,47,3,38.06,38.06,499.94,38.06
Becker,2,Beachfront,4,ORMOND_BEACH_2,48,3,38.06,38.06,499.94,38.06
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,3,38.78,38.78,38.78,38.78
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,3,36.61,36.61,36.61,36.61
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,3,32.56,32.56,32.56,32.56
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,3,32.56,32.56,32.56,32.56
Coase,3,Bay_Views,3,OAKLAND,35,3,61.17,61.17,61.17,61.17
Debreu,4,Big_Coal,1,Four Corners,11,3,42.00,46.00,62.00,46.00
Debreu,4,Big_Coal,1,ALAMITOS_7,12,3,75.00,75.00,75.00,75.00
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,3,44.00,42.67,65.00,44.00
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_5,14,3,68.00,68.00,68.00,68.00
Debreu,4,Big_Coal,1,REDONDO_5-6,15,3,43.00,68.00,70.00,48.00
Debreu,4,Big_Coal,1,REDONDO_7-8,16,3,45.00,50.00,58.28,42.39
Friedman,5,Big_Gas,2,EL_SEGUNDO_1-2,21,3,44.83,44.83,497.04,44.83
Friedman,5,Big_Gas,2,EL_SEGUNDO_3-4,22,3,41.22,41.22,497.00,41.22
Friedman,5,Big_Gas,2,LONG_BEACH,23,3,52.50,52.50,497.05,52.50
Friedman,5,Big_Gas,2,NORTH_ISLAND,24,3,65.50,65.50,497.06,65.50
Friedman,5,Big_Gas,2,ENCINA,25,3,41.67,65.50,497.01,65.50
Friedman,5,Big_Gas,2,KEARNY,26,3,90.06,90.06,497.07,90.06
Friedman,5,Big_Gas,2,SOUTH_BAY,27,3,43.83,43.83,497.03,43.83
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,3,40.94,40.94,40.94,40.94
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,3,36.61,36.61,36.61,36.61
Heckman,6,East_Bay,5,PITTSBURG_7,53,3,59.72,59.72,59.72,59.72
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,3,58.28,58.28,58.28,58.28
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,3,39.50,39.50,39.50,39.50
Heckman,6,East_Bay,5,POTRERO_HILL,56,3,69.83,100.00,120.00,69.83
Krugman,7,Low_Fossil,7,HUMBOLDT,71,3,41.90,42.50,58.28,42.00
